question,path,score,relation_type
一个12岁的男孩出现发热及关节疼痛症状，持续2至3周，皮肤有淤点，心肺检查无异常，脾脏在肋下2厘米，病程已有数月且多次血培养及淤点涂片都能检测到病原菌。这一系列症状最符合哪种类型的流行性脑脊髓膜炎？,急性脑膜炎->检查疾病->脑脊液检查,0.22,诊断检查
针对一名患者，表现为心下痞硬，噫气不除，或反胃呕逆，吐涎沫，舌淡，苔白滑，脉弦而虚，请问应选用哪种中药方剂进行治疗？,旋覆代赭汤->并发症->胃气虚寒,0.62,并发症
一位32岁的女性在遇到寒冷时，双手顺序出现苍白、青紫和潮红，病程已有3年，逐渐加重且每次发作持续15到30分钟。根据该患者被诊断为雷诺综合征，请描述她在发作时的典型症状是什么？,雷诺综合征->症状->发作后的恢复,0.23,症状
针对一名30岁男性患者，出现恶寒发热、肌表无汗、头痛项强、肢体酸楚疼痛、口苦而渴、苔白、脉浮等症状，应优先选择哪种中药治疗？,小柴胡汤->治疗方法->益气养阴,0.61,治疗方法
根据一名45岁女性患者的症状：咳嗽十余天，近三天喘促不宁，痰涎壅盛，潮热，便秘，舌苔黄腻，脉右寸实大，应使用哪种中医方剂进行治疗？,宣白承气汤->并发症->气喘,0.22,并发症
根据一名23岁女性患者的症状表现，如发热、腹泻便秘交替和右下腹部轻度压痛等，为了明确诊断，应该进行哪项检查最为重要？,急性腹痛->症状->右下腹部压痛,0.49,症状
根据以下患者病情描述，请指出应用什么中药方剂加减治疗：女性患者，45岁，出现全身水肿，皮肤紧绷光亮，伴有胸脘痞闷、烦热口渴、小便短赤、大便不爽，舌红苔黄腻，脉濡数。,湿热内蕴->常用药品->疏凿饮子,0.37,常用药品
孙某，女性，60岁，长期喘息，气短，动时加重，吸气不利等症状，容易在劳累后发作。结合这些症状，应针对哪种病机进行治疗？,喘息->症状->肺气虚,0.88,症状
患者，男，48岁。有冠心病史3年，今晨出现剧烈的胸痛，并伴有心痛彻背、背痛彻心等症状。服用硝酸甘油后无效，且有喘促心悸、气短乏力等表现。出现畏寒肢冷、腰部及下肢浮肿、面色苍白、唇甲淡白的症状，舌淡胖、苔水滑，脉象沉细。心电图显示Ⅰ、Ⅱ、aVF导联ST段弓背抬高，血清酶检查显示CK—MB活性增高。结合以上症状和检查结果，该患者的证型是什么？,阳虚水泛证->治疗方法->温阳化水,0.68,治疗方法
通过检查，一名患者的呼吸模式表现为由浅慢逐渐变深快，然后由深快转为浅慢，随之出现短时暂停，并不断循环此模式。这种呼吸模式应如何诊断？,切尼-施托克斯呼吸->疾病描述->脑损伤,0.78,疾病描述
针对一位63岁的男性患者，他出现小便频数清长、尿有余沥、遗尿、或小便点滴不爽且排尿无力，伴随心神恍惚和健忘，舌质润且苔薄，脉象沉细等症状，应选择哪种中药配伍进行治疗？,心神恍惚->治疗方法->茯神,0.71,治疗方法
根据发作性意识丧失和脑电图显示3Hz棘一慢波的症状，智力基本正常的6岁女童，应该选择哪种药物进行治疗？,失神癫痫->症状->意识丧失,0.59,症状
一位56岁的男性患者被诊断为稳定性心绞痛，在经过一段时间的治疗后效果不佳，医生决定采用联合用药。针对这种情况，哪种药物组合较为合理，可以更有效地帮助患者改善病情？,稳定性心绞痛->治疗方法->β-受体阻滞剂、钙通道阻滞剂、长效硝酸酯类、抗血小板药物、雷诺嗪,0.92,治疗方法
女，58岁。经过1.5年的丙基硫氧嘧啶治疗后，患者的甲状腺有所缩小，且T抑制试验结果显示3小时抑制率大于50％，24小时抑制率小于50％，TT、TT正常。对于这一病例，应如何调整丙基硫氧嘧啶的使用剂量？,丙基硫氧嘧啶->治疗时长->1~2年,0.73,治疗时长
患者50岁男性，右足刺伤10天后出现张口困难、颈项紧、饮水诱发手足痉挛、频繁抽搐及呼吸道分泌物多。为保持呼吸道通畅，最有效措施是什么？,破伤风->治疗方法->气管切开术,0.84,治疗方法
某肺心病患者在急性加重期治疗后病情好转，但出现躁动、手足抽搐，血清钾及氯均降低，HCO₃⁻为38mmol/L，二氧化碳分压为40mmHg。这种情况下，患者可能出现了什么病理变化？,代谢性碱中毒->并发症->心脏衰竭,0.53,并发症
在一名男性患者摔倒后出现肩部疼痛，检查发现患肩下沉，患肢活动障碍，头向患侧偏斜，Dugas征阳性的情况下，最可能的诊断是什么？,肩关节前脱位->症状->患肩下沉,0.56,症状
一位24岁的男性患者出现四肢发作性抽搐，昏迷且有Babinski征阳性的症状，没有肢体瘫痪，应该选择哪种药物进行首次治疗？,癫痫->易患人群->青壮年男性,0.11,易患人群
一名45岁男性患者突然感到胸痛，4小时后前往医院就诊。在排除急性心肌梗死时，哪项检查最为有帮助？,肌钙蛋白检测->可以治疗疾病->无（筛查专用）,0.84,可以治疗疾病
某疟疾病患者在使用二盐酸奎宁进行抢救过程中，出现寒战、高热、血红蛋白尿等症状，此时应改用哪种药物继续进行抢救？,疟疾->常用药品->抗生素,0.83,常用药品
在患者因肺部感染而出现高热，咳嗽气急，咽痛咳血等症状，舌红绛或紫绛，苔黄，脉滑数的情况下，应如何加减应用中药进行治疗？,清热解毒->治疗方法->化痰止咳,0.71,治疗方法
30岁男性，间断性上腹痛3年，呕血400毫升，排黑便4次，头晕心悸，HBsAg阳性，最可能的诊断？,消化性溃疡->常用药品->质子泵抑制剂,0.82,常用药品
26岁男性，右下颌肿块，穿刺出黏稠液体，诊断是什么？,右下颌肿块->诊断->深静脉血栓,0.51,可能患有疾病
25岁女性起床后颈背部僵痛、头部转动困难、右侧斜方肌压痛，最可能的疾病？,热敷->治疗方法->缓解肌肉紧张,0.55,治疗方法
一位24岁的初产妇在低位产钳分娩后立即出现阴道持续流血400ml，且血色鲜红，血压为14.7/9.33kPa，子宫坚硬，此时最适宜的处理步骤是什么？,产后出血->治疗方法->血液检查,0.62,治疗方法
一名58岁男性患者，胃镜显示胃小弯有一大病灶。病理报告中，细胞较小，大小一致，呈线状分布，内无腺管结构。这种病理特征的诊断是什么？,胃癌->可能患有疾病->未分化癌,0.86,可能患有疾病
一名患者发热3天，伴有头痛和呕吐，脑脊液检查显示微混、压力为270mmH2O，Pancy试验阳性，蛋白含量为1.28g/L，糖为1.1mmol/L，氯化物为90mmol/L。根据这些临床表现和检查结果，如何诊断该患者的脑部疾病类型？,结核性脑膜炎->诊断检查->Pancy试验,0.62,诊断检查
一位43岁女性患者，表现出头痛畏寒、面色白、四肢不温、舌质淡胖、有齿痕、脉沉细等症状，请问对于这位患者，应该选择哪一种主要方剂来进行治疗？,脾肾阳虚->治疗方法->补肾温阳,0.78,治疗方法
一个8岁男性患者发现右阴囊内肿块1年，该肿块无痛且平卧时消失，扪之囊性感，透光试验呈阳性。请问根据这些情况，首选的治疗方法是什么？,交通性鞘膜积液->传染性->是,0.06,传染性
请详细描述一位男性患者摔伤右腕部后，在X光片上腕关节显现的具体损伤特征，并指出最可能的诊断是什么。,咖啡->食物有害于疾病->骨质疏松,0.15,食物有害于疾病
一名62岁的男性患者佩戴可摘局部义齿1个月后，咀嚼时经常咬到颊黏膜。考虑到患者的下颌舌侧第一磨牙至磨牙后垫区有压痛现象，导致患者咬颊黏膜的具体原因是什么？,基托设计欠佳->症状->压痛,0.75,症状
针对一名60岁的男性患者，他在过去2周有多饮多尿的症状，并在过去2天内感到嗜睡，出现脱水表现。化验显示血尿素氮为42.9mmol/L，血钠为150mmol/L，尿酮体阴性，诊断为高渗性非酮症糖尿病昏迷。请问对此患者宜采用什么治疗措施？,尿酮体阴性->诊断检查->尿常规,0.06,诊断检查
一名25岁女性患者持续性无尿1周，并有严重外伤史。从症状及病史分析，结合相关图像，最可能的诊断是什么？,创伤性横纹肌溶解症->诊断检查->肌红蛋白和肌酸激酶（CK）活性检查,0.79,诊断检查
一位50岁女性患者，被诊断为耐青霉素G的金黄色葡萄球菌性心内膜炎，且青霉素皮试结果为阴性，既往病史包括慢性肾盂肾炎。在这种情况下，应选用哪种抗生素进行治疗？,耐青霉素G的金黄色葡萄球菌性心内膜炎->常用药品->阿莫西林,0.05,常用药品
一位60岁男性患者，患有慢性阻塞性肺病15年，最近一周内咳嗽和喘息加重，出现明显发绀和烦躁，血气分析结果为pH值7.4，PaO₂为40mmHg，PaCO₂为70mmHg。请问在这种情况下，应如何进行氧疗？,高碳酸血症->常用药品->乙酰半胱氨酸,0.05,常用药品
一位三十岁女性患者右前臂伸侧有散在分布的环状结节，直径5mm至3cm，皮损呈淡红色且表面光滑，质地坚韧且界限明确，无明显自觉症状。根据这些特征，患者最可能的诊断是什么？,环状肉芽肿->症状->皮肤结节,0.15,症状
一名20岁未婚女性患者，出现经行鼻衄已经3年，鼻血量较多，呈红色，伴随月经周期提前，经量偏少。患者在月经第2天出现鼻衄，情绪波动会影响出血量，舌质红，脉象细弦。根据这些症状，针对她的病情应选择哪种中药方剂进行治疗，并且加哪味药以达到最佳疗效？,经行鼻衄->忌吃->辛辣食物,0.57,忌吃
一名7岁男孩左眼视力模糊1周，并且在眼球转动时感到疼痛，此前有感冒病史。检查显示瞳孔对光反射略迟钝。根据以上信息和眼底检查结果，请给出最可能的诊断是什么？,眼部感染->症状->眼痛,0.27,症状
"男性25岁,鼻部疖肿一周前出现,3日前受挤压后症状加重,出现发烧、脉率增快、两眼周围红肿,局部压痛,血白细胞计数升高。这种情况最可能并发了什么病症?",高血压->症状->眼睑红肿,0.18,症状
根据以下信息，给出患牙的最可能诊断：一位28岁女性，左下后牙进食时疼痛半年，常在食物进入洞后加剧，左下第一磨牙咬合面出现深龋，洞内有粉红色息肉状物。探诊时略感敏感，叩痛呈阳性，冷测反应迟钝，并能探及牙周袋。,根尖周炎->症状->叩痛阳性,0.31,症状
对于自诉感冒后出现眼部不适的女性患者，她在这段期间使用了哪些治疗方法？,眼部不适->症状->眼部休息,0.65,症状
一位26岁的女性，持续发热1周并入院。她的体检显示体温40℃，神清，表情淡漠，反应迟钝，前胸可见淡红色、散在分布的皮疹7～8个，心率100次/分，律齐，两肺（－），肝未及，脾肋下2cm，质软，无压痛。根据这些临床表现，应诊断为什么疾病？,伤寒玫瑰疹->症状->散在皮疹,0.88,症状
一位71岁男性，出现右侧肢体无力逐渐加重，查体显示右侧Babinski征阳性和右偏身痛觉减退，头颅CT未见异常，请问对该患者最适宜的治疗措施是什么？,急性缺血性脑卒中->治疗方法->机械取栓,0.78,治疗方法
一名30岁男性，经历阵发性心悸10年，每次发作持续时间从半小时到3小时不等，此次心悸发作已持续半小时来就诊。检查显示血压为90/60mmHg，心率为200次/分钟，心律绝对规则，无杂音，肺部无异常。请问在这种情况下，最适合的治疗措施是什么？,室上性心动过速->治疗方法->腺苷,0.83,治疗方法
一名患者出现胸痛持续加剧，右胸导联心电图显示ST段明显上抬，伴有低血压（血压70／50mmHg）和肝大水肿，应选择使用什么药物进行优先治疗？,右心室心肌梗死->治疗方法->多巴胺,0.73,治疗方法
对于31岁初产妇产后10天仍有血性恶露伴随色淡质稀、无臭味，精神倦怠，小腹空坠，面色白光白，舌淡，苔白，脉缓弱的症状，应首选什么方剂进行治疗？,气虚->治疗方法->调和脾胃,0.62,治疗方法
一位38岁女性患者，经历5年的心悸、气短、下肢浮肿和纳差症状，并在最近2周加重。体检发现，其心脏区域有级别为3/6的收缩期杂音，心率为120次/分钟，心律规整，双肺底部有湿啰音，肝脏下降至肋下3厘米并有轻度压痛。结合这些体征和症状，请给出该患者的具体心功能诊断。,心力衰竭->治疗方法->利尿剂,0.21,治疗方法
45岁男性，畏寒、乏力、性欲减退，低血压低钠，2年前脑部肿瘤放疗，静脉输液后改善，体位性低血压，皮肤干燥，阴毛腋毛稀疏，睾丸小，贫血，尿渗透压高，最可能诊断？,脑部放疗->并发症->垂体功能减退,0.77,并发症
"一名27岁已婚妇女,在停经13周时出现不规则阴道出血,持续10余天,量不多且暗色。在妇科检查中,发现其子宫大小如新生儿头,张力较大,且两侧附件均可触及手拳大小、活动良好并光滑的肿物。最可能的诊断是什么?",葡萄胎->治疗方法->药物引产,0.55,治疗方法
一名67岁男性患者，数天来出现头痛和呕吐，4个月前曾有头部摔伤史。头颅CT显示右额颞顶新月形中等密度影。请问这种情况下，该患者的首选治疗方法是什么？,颅脑损伤->症状->头痛,0.62,症状
描述患者症状为：日晡潮热、谵语、纯利稀水、恶臭异常、腹胀硬痛、肛门灼热、舌苔黄燥、脉沉有力。这种情况下，应该采用哪种中药汤进行治疗？,肠热里实->症状->腹胀硬痛与日晡潮热,0.81,症状
根据患者的症状，如昏迷、不省人事、牙关紧闭、两手握固、面赤身热、躁扰不宁、大便小便闭、舌红苔黄腻、脉弦滑而数，请问该患者的诊断是什么？,中风阳闭证->诊断检查->舌红苔黄腻,0.69,诊断检查
一名2岁的男性患者，出现口腔黏膜突发簇集的针头大小透明疱疹及溃疡，并伴有啼哭声、流涎和发热。这种情况的最可能诊断是什么？,疱疹性龈口炎 -> 常用药品 -> 阿昔洛韦,0.67,常用药品
一名42岁的女性患者，最近一个月出现进行性腰部疼痛，尤其在夜间更加严重。她在一年前因乳腺癌进行了手术治疗。为了明确她腰痛的原因，哪种检查方法最有价值？,骨转移->诊断检查->MRI,0.85,诊断检查
一名6岁男性患儿，两天前经历严重车祸后撕脱伤，现体温38.5℃，四肢冰冷，全身多处皮肤瘀斑及出血点，伴有黄疸和血红蛋白尿，血压为60/35mmHg，检查发现血小板计数为55×10⁹/L，纤维蛋白原为1.2g/L，肝功能正常。患儿突然出现惊厥和意识障碍，且血红蛋白为110g/L，最可能是什么原因导致了患儿当前的症状？,高血压->忌吃->高盐食物,0.18,忌吃
41岁男性患者因土石方塌方受伤，腰椎1压缩性骨折，椎体前缘压缩约1/4。最佳治疗方案是什么？,腰椎压缩性骨折->治疗方法->手术治疗,0.56,治疗方法
对于一名50岁女性患者，她有乏力和活动后气急的症状持续2年，并在最近一个月出现呼吸困难和下肢水肿。体检显示血压为120/70mmHg，心界向两侧扩大，心尖搏动及第一心音减弱。在这个情况下，应当选择哪种药物进行治疗？,心力衰竭->诊断检查->超声心动图,0.57,诊断检查
根据患者表现出的频繁呕吐、前囟饱满、高热、多次抽搐、颅缝增大、肌张力增高或偏瘫等症状，结合硬脑膜下穿刺流出清液的结果，该患儿最可能被诊断为何种疾病？,病毒性脑膜炎 -> 易患人群 -> 幼儿,0.48,易患人群
一位29岁男性患者出现间歇性下腰痛半年，CT检查显示双侧骶髂关节对称性增生硬化，关节面不规则，并且关节间隙变窄，基于这些临床表现和检查结果，最可能的诊断是什么？,骶髂关节改变->可能患有疾病->强直性脊柱炎,0.89,可能患有疾病
根据以下症状：患者肢体关节疼痛重着，痛处不移，局部微肿，扪之无灼热感，四肢沉重，肌肤麻术，接近关节处尤为明显，舌淡胖、边有齿痕，苔白腻，脉濡缓，应选用哪种中药方剂进行治疗？,湿痹->症状->关节疼痛,0.53,症状
一个5岁的男孩因2天无痛性暗红色血便入院，并有类似病史。在体检后为明确诊断，应该首选哪种检查方法？,无痛性血便->治疗方法->抗生素,0.21,治疗方法
左眼睑下垂、外肌瘫痪、瞳孔散大、突出、视力仅0.1，应考虑什么诊断？,眶尖综合征->症状->眼球突出,0.11,症状
一名50岁男性患者，大量饮酒后出现上腹部剧烈疼痛和呕吐，症状没有缓解，并且保守治疗3天后病情恶化至休克状态。查体发现体温升高、脐周及背部瘀斑、上腹肌紧张和明显的压痛反跳痛。对于这种病情，最重要的治疗措施是什么？,急性重症胰腺炎->治疗方法->手术干预,0.8,治疗方法
8岁女孩因左耳垂下肿痛、发热伴腹痛、呕吐入院，体温39℃，左侧腮腺有压痛，存在左上腹部轻压痛。为了确诊，应进行何种辅助检查？,流行性腮腺炎->并发症->胰腺炎,0.76,并发症
根据一个72岁男性患者因剧烈咳嗽后出现的右腹股沟包块，并经过手法复位的特点，结合包块性质和触诊结果，疝出的内容物最可能是什么？,腹股沟疝->治疗方法->疝修补术,0.57,治疗方法
一名58岁的男性患者有胃病史，最近因饮食不当而复发，症状包括恶心呕吐，伴有胃脘痞闷，纳呆神疲，大便微溏，口淡不渴，舌淡苔薄白，脉虚无力。在这种情况下，哪个中药方剂最适合用于治疗？,香砂六君子汤->治疗方法->健脾和胃,0.57,治疗方法
对于药物治疗无效的反复发作室性心动过速或心室颤动的心力衰竭患者，最适宜的治疗方法是什么？,心力衰竭->治疗方法->ICD植入,0.81,治疗方法
在CT平扫中，观察到一名40岁男性的肝脏密度大片减低，并且肝内血管清晰呈现较高密度，其分布走形规则。这种CT表现最可能提示何种肝脏病变？,肝脏病变->症状->肝脏增大,0.65,症状
根据患者的症状和体征，特别是突然昏倒、语言謇涩、面色潮红、舌质红苔黄燥及脉象等特点，哪种方药最适合作为治疗方案？,突然昏倒->症状->语言謇涩,0.82,症状
一位49岁的男性患者，反复发作性癫痫，双手震颤5年，伴有头晕和行走不稳，生化检查显示血清钙降低和血清磷升高。根据这些症状和实验室检查结果，你认为最可能的诊断是什么？,甲状旁腺功能减退症->实验室检查->低血钙和高血磷,0.89,诊断检查
根据尿频尿痛、尿中白细胞增多、小腹胀痛和苔黄脉滑数的症状，这位23岁女性患者应选用哪种中药方剂进行治疗？,湿热下注->疾病描述->尿路感染,0.85,疾病描述
一名66岁男性，情绪激动后突然出现剧烈头痛、头晕、呕吐，随后表现出'三偏征'，伴随瞳孔缩小和光反射消失，这种症状最可能提示脑出血发生在何处？,脑出血->治疗方法->手术治疗,0.12,治疗方法
对于一位46岁男性患者，出现心悸气短症状12年，并在心尖部听到舒张期隆隆样杂音，请描述心尖内侧听诊时可能出现的异常声音。,心悸->症状->心脏杂音,0.18,症状
一位38岁的男性患者，居住在沿海地区，腰背部疼痛已超过半年。根据提供的影像资料，他最可能被诊断为什么疾病？,氟骨症->治疗方法->饮水改善,0.62,治疗方法
一名18岁男性患者的X线胸片检查发现左侧胸腔第6胸椎旁有一直径约6cm的圆形肿块影，从这个位置和影像特征来看，这个肿块最可能的诊断是什么？,后纵隔肿块->疾病描述->神经鞘瘤,0.31,疾病描述
一位71岁男性，出现右侧肢体无力逐渐加重，查体显示右侧Babinski征阳性和右偏身痛觉减退，头颅CT未见异常，请问对该患者最适宜的治疗措施是什么？,急性缺血性脑卒中->治疗方法->静脉溶栓,0.89,治疗方法
一位12岁的女孩出现低热和关节疼痛半个月，检查发现其左肘关节附近外侧肱骨骨骺端有硬质无压痛的小结节，该结节与皮肤不粘连且在皮肤绷紧时容易发现，这种皮下结节最有可能是什么？,风湿性结节->并发症->关节炎,0.55,并发症
在牙周基础治疗完成2个月后，假如患者磨牙区袋深仍约为5mm，且附着龈较宽，牙槽骨出现水平吸收但无异常骨形态，针对这种情况，哪种牙周手术治疗方案最好？,牙周手术->症状->牙槽骨水平吸收,0.77,症状
请描述一个12岁男性患儿，表现为身材矮小、长期面色苍白、乏力，巩膜轻度黄染并且脾大肋下3cm时，其实验室检查中最可能出现什么异常结果？,贫血->实验室检查->网织红细胞增多,0.65,诊断检查
根据患者的临床表现，辅助检查结果（特别是抗GBM抗体阳性、ANCA阴性、肾脏病理表现中的IgG和C3沿肾小球毛细血管壁呈光滑线条分布以及光镜下的新月体肾炎），明确该患者最可能的具体诊断是什么？,抗GBM病->并发症->肾功能衰竭,0.62,并发症
一名20岁男性患者，数月来出现低热乏力和逐渐加重的呼吸困难，体检发现气管偏向右侧，左下肺叩诊呈浊音，语颤消失，且左上肺可闻及支气管呼吸音，下方肺泡呼吸音消失。结合上述体征，请问最可能的诊断是什么？,胸腔积液->治疗方法->胸腔穿刺抽液,0.83,治疗方法
一位61岁男性患者，有5年高血压病史，在饮用半斤白酒后突然出现剧烈头痛、头晕、呕吐、左侧肢体无力以及站立和行走不稳的症状。根据这些症状，这位患者最有可能出现了什么情况？,小脑出血->治疗科室->神经内科,0.14,治疗科室
患者为38岁女性，双额黏膜存在白色病变1年，活检标本显示上皮萎缩、表面不全角化、上皮钉突不规则延长，基底细胞层液化变性以及固有层内近上皮区淋巴细胞浸润。根据这些病理特征，诊断应为哪种疾病？,口腔扁平苔藓->诊断方法->活检,0.87,诊断检查
男性，30岁，持续低热，咳嗽并痰中带血丝20天，胸片显示右肺上叶不张。这种情况下，最可能的诊断是什么？,支气管炎->症状->咳嗽,0.24,症状
一个患者，女性，21岁，14岁时初潮。她在每次月经期间都会感到小腹冷痛，喜欢温暖和按压，经量少，颜色黯淡，并且有腰膝酸冷的症状。舌苔淡白润，脉沉。在中医辨证中，这种情况一般归为哪种证型？,气虚证->症状->月经少,0.25,症状
68岁男性，恶寒发热、头痛、微喘、无汗、全身骨节酸楚烦疼，舌苔薄白，脉浮紧而数，最合适的治疗原则是什么？,风寒表证->易患人群->年长体弱者,0.18,易患人群
对于一名出现拒食、呕吐、嗜睡、面色青灰、前囟紧张和脐部有脓性分泌物的2个月女婴，最关键的诊断检查应该是什么？,脑膜炎->易患人群->婴幼儿,0.07,易患人群
根据患者的病情描述，特别是右锁骨上淋巴结的触诊结果、气管移位、右肺叩诊及胸液常规结果，最可能的诊断是什么？,右肺癌->并发症->恶性胸水,0.91,并发症
一名40岁的女性患者，右桡骨远端疼痛已持续5个多月，并且局部有压痛。请结合其右腕关节的正侧位X光片，诊断出最可能的疾病是什么？,骨巨细胞瘤->治疗方法->活检,0.61,治疗方法
3岁患儿，发热39.8℃，烦躁不安，面红目赤，口渴欲饮，丘疹、疱疹、结痂散布，舌红绛苔黄糙，脉洪数。应该选择什么药物进行治疗？,热毒内蕴->症状->舌红绛、脉洪数,0.84,症状
一名72岁男性因皮肤、巩膜黄染进行性加重伴消瘦、乏力2个月入院，入院后病人时有寒战及发热现象。在诊疗计划中，哪项检查对于明确病因最不重要？请解释理由。,黄疸->诊断检查->超声检查,0.82,诊断检查
根据2岁儿童出现的症状：发热4天，伴咳嗽、流涕，眼结合膜充血、流泪，耳后、颈部、发际边缘出现稀疏不规则红色斑丘疹，疹间皮肤正常以及40℃的高烧，判断该儿童最有可能患上什么疾病？,麻疹->并发症->肺炎,0.72,并发症
一位36岁的女性患者，表现出上颌前牙唇倾并伴有散隙，前牙深覆导致上颌牙龈被咬伤，以及个别前牙Ⅰ～Ⅱ度松动，覆盖6mm，并缺失下颌右侧第一磨牙，第二磨牙及第二双尖牙向缺牙隙倾斜。在这种情况下，患者最首先需要接受哪种治疗？,巧克力->食物有害于疾病->牙周炎,0.21,食物有害于疾病
对于出现周期性下腹痛半年余且无月经来潮的青春期女性，首先应进行哪项检查以便于准确确认问题？,下腹痛->诊断检查->外阴检查,0.89,诊断检查
一个足月出生的男婴，顺产，体重3.2kg，出生后20小时出现黄疸，胆红素水平为210μmmol/L。为了明确诊断，应首先进行哪项检查？,黄疸->症状->胆红素水平210μmmol/L,0.65,症状
41岁男性患者因土石方塌方受伤，腰椎1压缩性骨折，椎体前缘压缩约1/4。最佳治疗方案是什么？,骨折->治疗方法->理疗,0.38,治疗方法
对于患有慢性肺心病的65岁男性患者石某，他因感冒出现气急、咳嗽、痰不易咳出等症状，同时伴有口唇发绀及下肢水肿，体温38.9℃，脉搏110次/min，呼吸24次/min，情绪不稳，对疾病缺乏正确认识。在这种情况下，建议对患者采取何种吸氧方案？,慢性肺心病急性加重->治疗方法->低流量吸氧,0.89,治疗方法
一名37岁的男性患者出现腹泻和呕吐，在体检时有口唇干燥、眼窝下陷及低血压的症状。请问，在这种情况下，哪一种确诊方法是最重要的？,腹泻->可能患有疾病->急性胃肠炎,0.17,可能患有疾病
一名20岁女性患者反复出现牙龈出血和月经量增多1年半，伴有轻度贫血，检查发现血小板低至30×10^9/L，出血时间延长但凝血时间正常，骨髓增生明显活跃且红系占30%，巨核细胞明显增多，同时骨髓内外铁减少。基于这些临床和检验结果，确定该患者的诊断。,缺铁性贫血->忌吃->浓茶,0.64,忌吃
一名25岁的女性在7天前无意中发现甲状腺肿块，并在最近3天内肿块迅速增长，伴有胀痛。甲状腺核素扫描结果显示甲状腺右叶存在冷结节。根据这些信息，应如何初步诊断该患者的甲状腺病变？,甲状腺囊腺瘤->治愈概率->较高,0.14,治愈概率
根据患者的症状描述，如何判断这位60岁男性右膝关节问题的中医证型？,风寒湿痹->症状->关节活动受限,0.23,症状
一位67岁的男性支气管哮喘患者，其缓解期表现为气短声低，咳痰清稀色白，平素自汗，怕风，常易感冒，舌淡苔白，脉细弱。根据这些症状，应该选择哪种中药方剂进行治疗？,肺气虚->传染性->否,0.06,传染性
患者出现发热、咳嗽、呼吸急促、黄色痰，肺部影像显示阴影。最可能诊断？,黄色痰->症状->肺结核,0.15,症状
对于一名30岁的男性患者，他出现恶寒发热、咳嗽气喘，并伴有眼睑浮肿，随后四肢及全身皆迅速出现浮肿，还感到肢体关节酸楚，舌苔薄白，脉象紧。在此情况下，应该选择哪种中药配伍？,风寒->症状->恶寒发热,0.87,症状
一名15岁的女性患者因心悸就诊，在体检中发现胸骨左缘第3至第4肋间有收缩期震颤，请问首先应该考虑是什么诊断？,收缩期震颤->治疗方法->服用抗焦虑药,0.12,治疗方法
一位42岁的男性患者反复腰痛5年，并在7个月前因腰部扭伤出现剧烈疼痛和左侧肢体不适，经过系统性的保守疗法后症状依然没有缓解，腰椎CT显示L间盘左后方突出压迫了硬膜囊。请问在这种情况下，他下一步应该接受什么治疗来缓解症状？,腰椎间盘突出->治疗方法->硬膜外注射,0.83,治疗方法
患者出现四肢厥逆、恶寒蜷卧、神疲欲寐、面色苍白、腹痛下利、呕吐不渴等症状，舌苔白滑，脉微细，根据上述症状，最适合的治疗方剂是什么？,阳虚寒盛->治疗方法->真武汤,0.79,治疗方法
当患者出现腹大胀满、青筋暴露、面色晦滞、口燥、心烦、失眠、鼻齿衄血、小便短少、舌质红绛少津、脉弦细数等症状时，这通常属于哪种中医证型？,舌红->可能患有疾病->阴虚火旺,0.53,可能患有疾病
根据8岁患儿在春节期间因上感，注射青霉素40万单位后5小时出现高热、头痛、前胸出血点、低血压的情况，诊断最可能是什么？,青霉素过敏反应->症状->低血压,0.82,症状
患者有癫病史，表现为神志恍惚、躁动不寐、多言善惊、口舌干燥、纳少，舌红少苔，脉沉细数，治疗上应该采用什么方法？,血瘀->治疗方法->丹参饮,0.07,治疗方法
一位55岁男性患者，间歇性发作咽下困难5个月，可因情绪激动诱发。食管造影未见异常。根据这些症状，应首先考虑什么诊断？,反流性食管炎->症状->咽下困难、情绪激动诱发,0.92,症状
一名8岁男孩出现胸闷、气急等症状，查体发现颈静脉显露，结合胸片检查，你认为最可能的诊断是什么？,心包积液->症状->胸闷、气急、颈静脉显露,0.79,症状
一位24岁的女性患者因车祸导致面部外伤，X光片显示右侧上颌骨骨折，骨折线经过鼻背、眶部并穿过颧骨上方达到翼突。请问这种情况的诊断是什么？,Le Fort III型骨折->症状->面部骨折,0.09,症状
27岁女性哮喘患者，对阿司匹林敏感，最适合的药物是哪种？,哮喘->忌吃->阿司匹林,0.16,忌吃
42岁女性患者，症状包括厌食、乏力、肝区痛5天伴随尿色加深，检查结果显示ALT 400U，总胆红素50μmol/L，确诊为急性黄疸型病毒性肝炎。在这种情况下，最主要的治疗措施应该是什么？,急性黄疸型病毒性肝炎->治疗方法->抗病毒治疗,0.18,治疗方法
对于一名50岁男性患者，其主要症状包括左胸闷气2个月，胸痛20天，夜间加重，并伴有颜面、颈部及胸壁略肿胀、胸壁静脉曲张，左肺呼吸音消失。为了明确诊断，应该进行哪项检查？,胸部CT扫描->检查疾病->胸腔积液,0.83,诊断检查
"根据临床表现和实验室检查结果, 6岁小儿发热、轻咳、纳差2周, 右下肺呼吸音减低, 白细胞总数正常, 血清冷凝集反应滴度为1:64, 以及胸片显示右肺下部呈云雾状浸润，并在治疗1周后胸片显示右中、下肺野有大片状淡薄阴影。这些信息提示应诊断为什么类型的肺炎？",支原体肺炎->症状->轻咳,0.84,症状
